Author,Title,Poetry Foundation ID,Content,Length,Topics
"Alfred, Lord Tennyson",St. Agnes' Eve,45388,"Deep on the convent-roof the snows
Are sparkling to the moon:
My breath to heaven like vapour goes;
May my soul follow soon!
The shadows of the convent-towers
Slant down the snowy sward,
Still creeping with the creeping hours
That lead me to my Lord:
Make Thou my spirit pure and clear
As are the frosty skies,
Or this first snowdrop of the year
That in my bosom lies.

As these white robes are soiled and dark,
To yonder shining ground;
As this pale taper's earthly spark,
To yonder argent round;
So shows my soul before the Lamb,
My spirit before Thee;
So in mine earthly house I am,
To that I hope to be.
Break up the heavens, O Lord! and far,
Thro' all yon starlight keen,
Draw me, thy bride, a glittering star,
In raiment white and clean.

He lifts me to the golden doors;
The flashes come and go;
All heaven bursts her starry floors,
And strows her lights below,
And deepens on and up! the gates
Roll back, and far within
For me the Heavenly Bridegroom waits,
To make me pure of sin.
The sabbaths of Eternity,
One sabbath deep and wide-
A light upon the shining sea-
The Bridegroom with his bride",208,"heaven bursts, earthly spark, spirit pure, white robes, starry floors, snowy sward, sabbath deep, pale taper, frosty skies, earthly house, creeping hours, bridegroom waits, argent round"
"Alfred, Lord Tennyson",Claribel,45320,"Where Claribel low-lieth
The breezes pause and die,
Letting the rose-leaves fall:
But the solemn oak-tree sigheth,
Thick-leaved, ambrosial,
With an ancient melody
Of an inward agony,
Where Claribel low-lieth.

At eve the beetle boometh
Athwart the thicket lone:
At noon the wild bee hummeth
About the mossed headstone:
At midnight the moon cometh,
And looketh down alone.
Her song the lintwhite swelleth,
The clear-voiced mavis dwelleth,
The callow throstle lispeth,
The slumbrous wave outwelleth,
The babbling runnel crispeth,
The hollow grot replieth
Where Claribel low-lieth",86,"thicket lone, wave outwelleth, throstle lispeth, slumbrous wave, runnel crispeth, rose-leaves fall, oak-tree sigheth, mossed headstone, lintwhite swelleth, hollow grot, grot replieth, callow throstle, breezes pause"
"Alfred, Lord Tennyson","You Ask Me, Why, Tho' Ill at Ease",45393,"You ask me, why, tho' ill at ease,
Within this region I subsist,
Whose spirits falter in the mist,
And languish for the purple seas.

It is the land that freemen till,
That sober-suited Freedom chose,
The land, where girt with friends or foes
A man may speak the thing he will;

A land of settled government,
A land of just and old renown,
Where Freedom slowly broadens down
From precedent to precedent:

Where faction seldom gathers head,
But by degrees to fullness wrought,
The strength of some diffusive thought
Hath time and space to work and spread.

Should banded unions persecute
Opinion, and induce a time
When single thought is civil crime,
And individual freedom mute;

Tho' Power should make from land to land
The name of Britain trebly great-
Tho' every channel of the State
Should fill and choke with golden sand-

Yet waft me from the harbour-mouth,
Wild wind! I seek a warmer sky,
And I will see before I die
The palms and temples of the South",171,"sober-suited freedom, individual freedom, freedom mute, freedom chose, civil crime, warmer sky, settled government"
"Alfred, Lord Tennyson","Break, Break, Break",45318,"Break, break, break,
On thy cold gray stones, O Sea!
And I would that my tongue could utter
The thoughts that arise in me.

O, well for the fisherman's boy,
That he shouts with his sister at play!
O, well for the sailor lad,
That he sings in his boat on the bay!

And the stately ships go on
To their haven under the hill;
But O for the touch of a vanished hand,
And the sound of a voice that is still!

Break, break, break
At the foot of thy crags, O Sea!
But the tender grace of a day that is dead
Will never come back to me",111,"vanished hand, stately ships, sailor lad, gray stones, play, dead, voice, touch, tongue, thoughts, tender"
"Alfred, Lord Tennyson",Marriage Morning,50299,"Light, so low upon earth,
You send a flash to the sun.
Here is the golden close of love,
All my wooing is done.
Oh, all the woods and the meadows,
Woods, where we hid from the wet,
Stiles where we stayed to be kind,
Meadows in which we met!
Light, so low in the vale
You flash and lighten afar,
For this is the golden morning of love,
And you are his morning star.
Flash, I am coming, I come,
By meadow and stile and wood,
Oh, lighten into my eyes and my heart,
Into my heart and my blood!
Heart, are you great enough
For a love that never tires?
O heart, are you great enough for love?
I have heard of thorns and briers.
Over the thorns and briers,
Over the meadows and stiles,
Over the world to the end of it
Flash of a million miles",150,"kind, world, wooing, woods, wood, vale, thorns, stiles, stile, morning, meadows, meadow, lighten, light, heart"
"Alfred, Lord Tennyson",Of Old Sat Freedom on the Heights,45374,"Of old sat Freedom on the heights,
The thunders breaking at her feet:
Above her shook the starry lights:
She heard the torrents meet.

There in her place she did rejoice,
Self-gathered in her prophet-mind,
But fragments of her mighty voice
Came rolling on the wind.

Then stept she down thro' town and field
To mingle with the human race,
And part by part to men revealed
The fulness of her face-

Grave mother of majestic works,
From her isle-altar gazing down,
Who, God-like, grasps the triple forks,
And, King-like, wears the crown:

Her open eyes desire the truth.
The wisdom of a thousand years
Is in them. May perpetual youth
Keep dry their light from tears;

That her fair form may stand and shine,
Make bright our days and light our dreams,
Turning to scorn with lips divine
The falsehood of extremes",143,"fair form, triple forks, starry lights, perpetual youth, open eyes, mighty voice, majestic works, human race, wisdom, truth, tears, shook, rejoice, freedom"
"Alfred, Lord Tennyson","Late, Late, so Late",45361,"Late, late, so late! and dark the night and chill!
Late, late, so late! but we can enter still.
Too late, too late! ye cannot enter now.

No light had we: for that we do repent;
And learning this, the bridegroom will relent.
Too late, too late! ye cannot enter now.

No light: so late! and dark and chill the night!
O, let us in, that we may find the light!
Too late, too late: ye cannot enter now.

Have we not heard the bridegroom is so sweet?
O, let us in, tho' late, to kiss his feet!
No, no, too late! ye cannot enter now",110,"sweet, repent, night, light, learning, late, feet, dark, chill, bridegroom"
"Alfred, Lord Tennyson",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 82,45346,"I wage not any feud with Death
For changes wrought on form and face;
No lower life that earth's embrace
May breed with him, can fright my faith.

Eternal process moving on,
From state to state the spirit walks;
And these are but the shattered stalks,
Or ruined chrysalis of one.

Nor blame I Death, because he bare
The use of virtue out of earth:
I know transplanted human worth
Will bloom to profit, otherwhere.

For this alone on Death I wreak
The wrath that garners in my heart;
He put our lives so far apart
We cannot hear each other speak",104,"shattered stalks, lower life, human worth, spirit walks, eternal process, virtue, feud, embrace, death, blame, wrath"
"Alfred, Lord Tennyson","from
  
  The Princess: The Splendour Falls on Castle Walls",45385,"The splendour falls on castle walls
And snowy summits old in story:
The long light shakes across the lakes,
And the wild cataract leaps in glory.
Blow, bugle, blow, set the wild echoes flying,
Blow, bugle; answer, echoes, dying, dying, dying.

O hark, O hear! how thin and clear,
And thinner, clearer, farther going!
O sweet and far from cliff and scar
The horns of Elfland faintly blowing!
Blow, let us hear the purple glens replying:
Blow, bugle; answer, echoes, dying, dying, dying.

O love, they die in yon rich sky,
They faint on hill or field or river:
Our echoes roll from soul to soul,
And grow for ever and for ever.
Blow, bugle, blow, set the wild echoes flying,
And answer, echoes, answer, dying, dying, dying",128,"wild echoes, wild cataract, light shakes, cataract leaps, castle walls, sweet, splendour, clear, thinner, thin, summits, story, soul, scar"
"Alfred, Lord Tennyson",In Memoriam A. H. H. OBIIT MDCCCXXXIII: 22,45335,"The path by which we twain did go,
Which led by tracts that pleased us well,
Thro' four sweet years arose and fell,
From flower to flower, from snow to snow:

And we with singing cheered the way,
And, crowned with all the season lent,
From April on to April went,
And glad at heart from May to May:

But where the path we walked began
To slant the fifth autumnal slope,
As we descended following Hope,
There sat the Shadow feared of man;

Who broke our fair companionship,
And spread his mantle dark and cold,
And wrapt thee formless in the fold,
And dulled the murmur on thy lip,

And bore thee where I could not see
Nor follow, tho' I walk in haste,
And think, that somewhere in the waste
The Shadow sits and waits for me",139,"sweet years, fair companionship, shadow sits, mantle dark, autumnal slope, waste, glad, bore, wrapt, waits, tracts, snow"
